M [g]          R [cm]       P [dyn/cm2]      T [K]          Rho [cgs]    Vson [cm/s]    Gradc []     Grada []     Gradr []
  1.3666979D+30  5.1596116D+09  3.9084829D+12  8.3680695D+03  1.3595378D+00  2.4275388D+06  2.86692D-01  2.86692D-01  7.70536D+33
  1.3479371D+30  5.1185050D+09  4.0960509D+12  8.4818286D+03  1.3910477D+00  2.4519766D+06  2.89461D-01  2.89461D-01  7.75704D+33
  1.3290501D+30  5.0773965D+09  4.2884051D+12  8.5958017D+03  1.4227262D+00  2.4763439D+06  2.92285D-01  2.92285D-01  7.80849D+33
  1.3100477D+30  5.0362895D+09  4.4855409D+12  8.7100213D+03  1.4545592D+00  2.5006794D+06  2.95129D-01  2.95129D-01  7.85976D+33
  1.2909395D+30  4.9951852D+09  4.6874600D+12  8.8244924D+03  1.4865362D+00  2.5250387D+06  2.97929D-01  2.97929D-01  7.91099D+33
  1.2717347D+30  4.9540832D+09  4.8941668D+12  8.9392053D+03  1.5186436D+00  2.5496050D+06  3.00647D-01  3.00647D-01  7.96241D+33
  1.2524419D+30  4.9129821D+09  5.1056683D+12  9.0541365D+03  1.5508643D+00  2.5745590D+06  3.03242D-01  3.03242D-01  8.01429D+33
  1.2330693D+30  4.8718789D+09  5.3219739D+12  9.1692490D+03  1.5831739D+00  2.6006785D+06  3.05369D-01  3.05369D-01  8.06693D+33
  1.2136188D+30  4.8307569D+09  5.5431618D+12  9.2842685D+03  1.6155341D+00  2.6280739D+06  3.06893D-01  3.06893D-01  8.12162D+33
  1.1940991D+30  4.7896127D+09  5.7692366D+12  9.3991638D+03  1.6479332D+00  2.6550201D+06  3.08430D-01  3.08430D-01  8.17861D+33
  1.1745187D+30  4.7484432D+09  6.0001985D+12  9.5139144D+03  1.6803664D+00  2.6820655D+06  3.09822D-01  3.09822D-01  8.23810D+33
  1.1548857D+30  4.7072441D+09  6.2360538D+12  9.6284793D+03  1.7128243D+00  2.7092144D+06  3.11072D-01  3.11072D-01  8.30038D+33
